date,signal_id,direction,raw_value,triggered,universe_size,valid_count,version,high_low_window,new_high_low_net_ratio,new_high_low_net_change_5d,change_available,new_high_count,new_low_count,new_high_low_net_count,new_high_ratio,new_low_ratio,high_low_valid_count,episode_id,episode_number,episode_day,episode_stage,event_onset,event_continuation,event_exit,event_capped_confirmation,capped_confirmation_reason,capped_confirmation_n
2012-03-22,new_high_low_120_breadth_reversal_bottom,bottom,0.0125502008,False,2054,1992,new_high_low_period_decomposition_v1_20120104_20260814,120,0.0125502008,0.0075351556649999995,True,26,1,25,0.01305220884,0.0005020080321,1992,,,,inactive,False,False,False,False,,2
2012-03-23,new_high_low_120_breadth_reversal_bottom,bottom,0.006057546694,False,2054,1981,new_high_low_period_decomposition_v1_20120104_20260814,120,0.006057546694,-0.017643915736,True,12,0,12,0.006057546694,0.0,1981,,,,inactive,False,False,False,False,,2
2012-03-26,new_high_low_120_breadth_reversal_bottom,bottom,0.004032258065,False,2054,1984,new_high_low_period_decomposition_v1_20120104_20260814,120,0.004032258065,-0.024009805025,True,12,4,8,0.006048387097,0.002016129032,1984,,,,inactive,False,False,False,False,,2
2012-03-27,new_high_low_120_breadth_reversal_bottom,bottom,0.00701754386,False,2054,1995,new_high_low_period_decomposition_v1_20120104_20260814,120,0.00701754386,-0.0005582137159999999,True,15,1,14,0.007518796992,0.0005012531328,1995,,,,inactive,False,False,False,False,,2
2012-03-28,new_high_low_120_breadth_reversal_bottom,bottom,-0.004024144869,False,2054,1988,new_high_low_period_decomposition_v1_20120104_20260814,120,-0.004024144869,-0.014635564779,True,5,13,-8,0.002515090543,0.006539235412,1988,,,,inactive,False,False,False,False,,2
2012-03-29,new_high_low_120_breadth_reversal_bottom,bottom,-0.0252016129,False,2054,1984,new_high_low_period_decomposition_v1_20120104_20260814,120,-0.0252016129,-0.0377518137,True,4,54,-50,0.002016129032,0.02721774194,1984,,,,inactive,False,False,False,False,,2
2012-03-30,new_high_low_120_breadth_reversal_bottom,bottom,-0.0300407332,False,2054,1964,new_high_low_period_decomposition_v1_20120104_20260814,120,-0.0300407332,-0.036098279893999996,True,2,61,-59,0.001018329939,0.03105906314,1964,,,,inactive,False,False,False,False,,2
2012-04-05,new_high_low_120_breadth_reversal_bottom,bottom,-0.0050530571,False,2054,1979,new_high_low_period_decomposition_v1_20120104_20260814,120,-0.0050530571,-0.009085315165,True,10,20,-10,0.0050530571,0.0101061142,1979,,,,inactive,False,False,False,False,,2
2012-04-06,new_high_low_120_breadth_reversal_bottom,bottom,0.004079551249,False,2054,1961,new_high_low_period_decomposition_v1_20120104_20260814,120,0.004079551249,-0.002937992611,True,8,0,8,0.004079551249,0.0,1961,,,,inactive,False,False,False,False,,2
2012-04-09,new_high_low_120_breadth_reversal_bottom,bottom,0.003544303797,False,2054,1975,new_high_low_period_decomposition_v1_20120104_20260814,120,0.003544303797,0.007568448666,True,13,6,7,0.006582278481,0.003037974684,1975,,,,inactive,False,False,False,False,,2
2012-04-10,new_high_low_120_breadth_reversal_bottom,bottom,-0.02757916241,False,2054,1958,new_high_low_period_decomposition_v1_20120104_20260814,120,-0.02757916241,-0.00237754951,True,11,65,-54,0.005617977528,0.03319713994,1958,,,,inactive,False,False,False,False,,2
2012-04-11,new_high_low_120_breadth_reversal_bottom,bottom,0.01411290323,False,2054,1984,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01411290323,0.04415363643,True,30,2,28,0.01512096774,0.001008064516,1984,,,,inactive,False,False,False,False,,2
2012-04-12,new_high_low_120_breadth_reversal_bottom,bottom,0.01071975498,False,2054,1959,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01071975498,0.01577281208,True,23,2,21,0.01174068402,0.001020929045,1959,,,,inactive,False,False,False,False,,2
2012-04-13,new_high_low_120_breadth_reversal_bottom,bottom,0.02339776195,False,2054,1966,new_high_low_period_decomposition_v1_20120104_20260814,120,0.02339776195,0.019318210700999996,True,46,0,46,0.02339776195,0.0,1966,,,,inactive,False,False,False,False,,2
2012-04-16,new_high_low_120_breadth_reversal_bottom,bottom,0.01834862385,False,2054,1962,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01834862385,0.014804320053,True,36,0,36,0.01834862385,0.0,1962,,,,inactive,False,False,False,False,,2
