fold_id,test_year,model_id,direction,bin_number,bin_lower,bin_upper,rows,mean_predicted_probability,observed_rate,absolute_gap,probability_status
wf_cal3_2024,2024,elastic_net,bottom,4,0.4,0.5,2,0.40660647930960425,0.5,0.09339352069039575,calibrated
wf_cal3_2024,2024,shallow_gbdt,top,0,0.0,0.1,121,0.015194547876530332,0.01652892561983471,0.0013343777433043793,calibrated
wf_cal3_2024,2024,shallow_gbdt,top,1,0.1,0.2,49,0.13970811322213986,0.10204081632653061,0.03766729689560924,calibrated
wf_cal3_2024,2024,shallow_gbdt,top,2,0.2,0.3,28,0.24381150215517738,0.25,0.006188497844822616,calibrated
wf_cal3_2024,2024,shallow_gbdt,top,3,0.3,0.4,31,0.3654756534094533,0.12903225806451613,0.2364433953449372,calibrated
wf_cal3_2024,2024,shallow_gbdt,top,4,0.4,0.5,13,0.4292423824215144,0.46153846153846156,0.03229607911694715,calibrated
wf_cal3_2024,2024,shallow_gbdt,bottom,0,0.0,0.1,196,0.021890232206214597,0.061224489795918366,0.03933425758970377,calibrated
wf_cal3_2024,2024,shallow_gbdt,bottom,1,0.1,0.2,46,0.1255867075416302,0.08695652173913043,0.03863018580249977,calibrated
wf_cal3_2025,2025,elastic_net,top,0,0.0,0.1,110,0.04302363808885269,0.0,0.04302363808885269,calibrated
wf_cal3_2025,2025,elastic_net,top,1,0.1,0.2,60,0.13921682737765934,0.13333333333333333,0.005883494044326004,calibrated
wf_cal3_2025,2025,elastic_net,top,2,0.2,0.3,41,0.25225944961863067,0.12195121951219512,0.13030823010643555,calibrated
wf_cal3_2025,2025,elastic_net,top,3,0.3,0.4,23,0.3341537928723867,0.17391304347826086,0.16024074939412586,calibrated
wf_cal3_2025,2025,elastic_net,top,4,0.4,0.5,7,0.44617413133983835,0.0,0.44617413133983835,calibrated
wf_cal3_2025,2025,elastic_net,top,5,0.5,0.6,1,0.5593847723286103,0.0,0.5593847723286103,calibrated
wf_cal3_2025,2025,elastic_net,top,6,0.6,0.7,1,0.6079976903636938,0.0,0.6079976903636938,calibrated
wf_cal3_2025,2025,elastic_net,bottom,0,0.0,0.1,238,0.020069028991668448,0.02100840336134454,0.0009393743696760916,calibrated
wf_cal3_2025,2025,elastic_net,bottom,1,0.1,0.2,5,0.12440894475381761,0.8,0.6755910552461825,calibrated
wf_cal3_2025,2025,shallow_gbdt,top,0,0.0,0.1,106,0.041686819237732584,0.009433962264150943,0.03225285697358164,calibrated
wf_cal3_2025,2025,shallow_gbdt,top,1,0.1,0.2,57,0.13974021685691804,0.07017543859649122,0.06956477826042681,calibrated
