above_count_ma120,above_count_ma20,above_count_ma60,base_valid_count,base_valid_missing_industry_count,breadth_ma120,breadth_ma20,breadth_ma60,close_missing_count,date,four_industry_present_count,four_industry_top1_ids,four_industry_top1_triggered,insufficient_history_count_ma120,insufficient_history_count_ma20,insufficient_history_count_ma60,paused_count,paused_status_missing_count,ranked_industry_count_ma20,st_count,st_status_missing_count,target_bank_breadth_ma20,target_bank_expected_name,target_bank_industry_code,target_bank_industry_name,target_bank_is_top1_ma20,target_bank_mapping_count,target_bank_rank_ma20,target_bank_valid_count_ma20,target_coal_breadth_ma20,target_coal_expected_name,target_coal_industry_code,target_coal_industry_name,target_coal_is_top1_ma20,target_coal_mapping_count,target_coal_rank_ma20,target_coal_valid_count_ma20,target_nonferrous_breadth_ma20,target_nonferrous_expected_name,target_nonferrous_industry_code,target_nonferrous_industry_name,target_nonferrous_is_top1_ma20,target_nonferrous_mapping_count,target_nonferrous_rank_ma20,target_nonferrous_valid_count_ma20,target_steel_breadth_ma20,target_steel_expected_name,target_steel_industry_code,target_steel_industry_name,target_steel_is_top1_ma20,target_steel_mapping_count,target_steel_rank_ma20,target_steel_valid_count_ma20,top1_industry_codes_ma20,top1_industry_names_ma20,top1_tie_count_ma20,universe_size,valid_count_ma120,valid_count_ma20,valid_count_ma60
856,575,635,1994,0,0.4292878636,0.2883650953,0.3184553661,0,2012-06-12,2,,False,0,0,0,40,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.2727272727,有色金属,801050,有色金属I,False,1,8,66,0.09090909091,钢铁,801040,钢铁I,False,1,21,33,801160,公用事业I,1,2054,1994,1994,1994
987,884,785,2006,0,0.4920239282,0.4406779661,0.3913260219,0,2012-06-13,2,,False,0,0,0,28,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.3382352941,有色金属,801050,有色金属I,False,1,17,68,0.09375,钢铁,801040,钢铁I,False,1,21,32,801150,医药生物I,1,2054,2006,2006,2006
948,809,731,2002,0,0.4735264735,0.4040959041,0.3651348651,0,2012-06-14,2,,False,0,0,0,33,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.3382352941,有色金属,801050,有色金属I,False,1,15,68,0.09375,钢铁,801040,钢铁I,False,1,22,32,801160,公用事业I,1,2054,2002,2002,2002
954,811,742,1973,0,0.4835276229,0.4110491637,0.37607704,0,2012-06-15,2,,False,0,0,0,60,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.2985074627,有色金属,801050,有色金属I,False,1,18,67,0.09375,钢铁,801040,钢铁I,False,1,21,32,801150,医药生物I,1,2054,1973,1973,1973
1032,1038,837,1973,0,0.5230613279,0.5261023822,0.4242270654,0,2012-06-18,2,,False,0,0,0,60,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.447761194,有色金属,801050,有色金属I,False,1,16,67,0.125,钢铁,801040,钢铁I,False,1,23,32,801150,医药生物I,1,2054,1973,1973,1973
984,908,814,1999,0,0.4922461231,0.4542271136,0.4072036018,0,2012-06-19,2,,False,0,0,0,34,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.2272727273,有色金属,801050,有色金属I,False,1,18,66,0.09090909091,钢铁,801040,钢铁I,False,1,23,33,801150,医药生物I,1,2054,1999,1999,1999
985,920,815,1987,0,0.4957221943,0.4630095622,0.4101660795,0,2012-06-20,2,,False,0,0,0,47,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.2461538462,有色金属,801050,有色金属I,False,1,18,65,0.09090909091,钢铁,801040,钢铁I,False,1,23,33,801150,医药生物I,1,2054,1987,1987,1987
831,654,706,1984,0,0.4188508065,0.3296370968,0.3558467742,0,2012-06-21,2,,False,0,0,0,49,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.1470588235,有色金属,801050,有色金属I,False,1,19,68,0.03125,钢铁,801040,钢铁I,False,1,23,32,801150,医药生物I,1,2054,1984,1984,1984
661,407,507,1969,0,0.3357034027,0.2067039106,0.2574911122,0,2012-06-25,2,,False,0,0,0,66,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.07352941176,有色金属,801050,有色金属I,False,1,19,68,0.03125,钢铁,801040,钢铁I,False,1,23,32,801150,医药生物I,1,2054,1969,1969,1969
665,379,492,1982,0,0.3355196771,0.1912209889,0.248234107,0,2012-06-26,2,,False,0,0,0,52,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.06060606061,有色金属,801050,有色金属I,False,1,21,66,0,钢铁,801040,钢铁I,False,1,23,33,801150,医药生物I,1,2054,1982,1982,1982
