above_count_ma120,above_count_ma20,above_count_ma60,base_valid_count,breadth_ma120,breadth_ma20,breadth_ma60,date,industry_code,industry_name,universe_count,valid_count_ma120,valid_count_ma20,valid_count_ma60,rank_eligible_ma20,rank_ma20,is_top1_ma20,target_id,is_target_industry
1,48,3,84,0.0119047619,0.5714285714,0.03571428571,2012-01-19,801200,商业贸易I,88,84,84,84,True,10,False,,False
1,10,0,24,0.04166666667,0.4166666667,0,2012-01-19,801210,休闲服务I,25,24,24,24,True,16,False,,False
5,13,1,106,0.04761904762,0.1226415094,0.009433962264,2012-01-19,801220,信息服务I,107,105,106,106,True,23,False,,False
0,22,0,30,0,0.7333333333,0,2012-01-19,801230,综合I,31,30,30,30,True,7,False,,False
1,31,3,69,0.01470588235,0.4492753623,0.04347826087,2012-01-20,801010,农林牧渔I,70,68,69,69,True,19,False,,False
6,41,14,48,0.125,0.8541666667,0.2916666667,2012-01-20,801020,采掘I,50,48,48,48,True,6,False,,False
2,124,8,199,0.01005025126,0.6231155779,0.04020100503,2012-01-20,801030,化工I,204,199,199,199,True,12,False,,False
1,33,4,35,0.02857142857,0.9428571429,0.1142857143,2012-01-20,801040,钢铁I,35,35,35,35,True,2,False,steel,True
2,65,23,70,0.02857142857,0.9285714286,0.3285714286,2012-01-20,801050,有色金属I,70,70,70,70,True,3,False,nonferrous,True
3,65,8,96,0.03125,0.6770833333,0.08333333333,2012-01-20,801060,建筑建材I,97,96,96,96,True,10,False,,False
4,129,13,271,0.0147601476,0.4760147601,0.0479704797,2012-01-20,801070,机械设备I,275,271,271,271,True,18,False,,False
0,45,1,103,0,0.4368932039,0.009708737864,2012-01-20,801080,电子I,104,103,103,103,True,20,False,,False
8,73,14,104,0.07766990291,0.7019230769,0.1346153846,2012-01-20,801090,交运设备I,107,103,104,104,True,9,False,,False
4,24,4,72,0.05555555556,0.3333333333,0.05555555556,2012-01-20,801100,信息设备I,76,72,72,72,True,22,False,,False
2,21,6,34,0.06060606061,0.6176470588,0.1764705882,2012-01-20,801110,家用电器I,35,33,34,34,True,13,False,,False
2,25,2,51,0.03921568627,0.4901960784,0.03921568627,2012-01-20,801120,食品饮料I,51,51,51,51,True,17,False,,False
1,32,1,64,0.015625,0.5,0.015625,2012-01-20,801130,纺织服装I,65,64,64,64,True,16,False,,False
2,37,1,71,0.02816901408,0.5211267606,0.01408450704,2012-01-20,801140,轻工制造I,72,71,71,71,True,15,False,,False
3,54,3,149,0.02027027027,0.3624161074,0.02013422819,2012-01-20,801150,医药生物I,155,148,149,149,True,21,False,,False
12,50,12,78,0.1538461538,0.641025641,0.1538461538,2012-01-20,801160,公用事业I,81,78,78,78,True,11,False,,False
6,71,9,77,0.07792207792,0.9220779221,0.1168831169,2012-01-20,801170,交通运输I,80,77,77,77,True,4,False,,False
12,115,24,131,0.09160305344,0.8778625954,0.1832061069,2012-01-20,801180,房地产I,135,131,131,131,True,5,False,,False
20,41,24,42,0.4761904762,0.9761904762,0.5714285714,2012-01-20,801190,金融服务I,44,42,42,42,True,1,True,,False
2,60,4,83,0.02409638554,0.7228915663,0.04819277108,2012-01-20,801200,商业贸易I,88,83,83,83,True,8,False,,False
0,13,0,23,0,0.5652173913,0,2012-01-20,801210,休闲服务I,25,23,23,23,True,14,False,,False
5,21,1,106,0.04761904762,0.1981132075,0.009433962264,2012-01-20,801220,信息服务I,107,105,106,106,True,23,False,,False
0,24,0,30,0,0.8,0,2012-01-20,801230,综合I,31,30,30,30,True,7,False,,False
2,36,2,70,0.02857142857,0.5142857143,0.02857142857,2012-01-30,801010,农林牧渔I,70,70,70,70,True,16,False,,False
5,43,10,47,0.1063829787,0.914893617,0.2127659574,2012-01-30,801020,采掘I,50,47,47,47,True,2,False,,False
2,125,6,199,0.01005025126,0.6281407035,0.03015075377,2012-01-30,801030,化工I,204,199,199,199,True,11,False,,False
0,30,2,34,0,0.8823529412,0.05882352941,2012-01-30,801040,钢铁I,35,34,34,34,True,4,False,steel,True
0,61,23,68,0,0.8970588235,0.3382352941,2012-01-30,801050,有色金属I,70,68,68,68,True,3,False,nonferrous,True
3,69,3,95,0.03157894737,0.7263157895,0.03157894737,2012-01-30,801060,建筑建材I,97,95,95,95,True,8,False,,False
5,124,12,269,0.01858736059,0.4609665428,0.04460966543,2012-01-30,801070,机械设备I,275,269,269,269,True,18,False,,False
0,44,1,103,0,0.427184466,0.009708737864,2012-01-30,801080,电子I,104,103,103,103,True,20,False,,False
6,75,15,107,0.05607476636,0.7009345794,0.1401869159,2012-01-30,801090,交运设备I,107,107,107,107,True,9,False,,False
4,25,3,74,0.05405405405,0.3378378378,0.04054054054,2012-01-30,801100,信息设备I,76,74,74,74,True,21,False,,False
1,23,6,35,0.02941176471,0.6571428571,0.1714285714,2012-01-30,801110,家用电器I,35,34,35,35,True,10,False,,False
2,23,2,50,0.04,0.46,0.04,2012-01-30,801120,食品饮料I,51,50,50,50,True,19,False,,False
1,31,1,64,0.015625,0.484375,0.015625,2012-01-30,801130,纺织服装I,65,64,64,64,True,17,False,,False
2,39,2,71,0.02816901408,0.5492957746,0.02816901408,2012-01-30,801140,轻工制造I,72,71,71,71,True,14,False,,False
3,44,1,148,0.02027027027,0.2972972973,0.006756756757,2012-01-30,801150,医药生物I,155,148,148,148,True,22,False,,False
11,46,10,78,0.141025641,0.5897435897,0.1282051282,2012-01-30,801160,公用事业I,81,78,78,78,True,12,False,,False
5,68,7,78,0.0641025641,0.8717948718,0.08974358974,2012-01-30,801170,交通运输I,80,78,78,78,True,5,False,,False
8,111,17,132,0.06060606061,0.8409090909,0.1287878788,2012-01-30,801180,房地产I,135,132,132,132,True,6,False,,False
19,42,22,42,0.4523809524,1,0.5238095238,2012-01-30,801190,金融服务I,44,42,42,42,True,1,True,,False
2,47,3,84,0.02380952381,0.5595238095,0.03571428571,2012-01-30,801200,商业贸易I,88,84,84,84,True,13,False,,False
0,13,0,24,0,0.5416666667,0,2012-01-30,801210,休闲服务I,25,24,24,24,True,15,False,,False
5,24,3,107,0.04716981132,0.2242990654,0.02803738318,2012-01-30,801220,信息服务I,107,106,107,107,True,23,False,,False
0,22,0,30,0,0.7333333333,0,2012-01-30,801230,综合I,31,30,30,30,True,7,False,,False
2,39,3,69,0.02898550725,0.5652173913,0.04347826087,2012-01-31,801010,农林牧渔I,70,69,69,69,True,14,False,,False
5,41,12,47,0.1063829787,0.8723404255,0.2553191489,2012-01-31,801020,采掘I,50,47,47,47,True,3,False,,False
