ID,S,st,r,ar,ma,v,ls,fl,slday,fm,Return,Ann.Ret,MaxDD,Calmar,Sharpe,Volatility,WinRate,Trades,AvgHoldDays,Turnover
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3_3bc97c,"[0, 10]",-,0.4,✓,-,0.8,✓,✓,✓,F/F/T,29.9%,121.9%,17.2%,7.09,2.54,46.4%,54.3%,46,2.9,0.57
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3_d4ad52,"[0, 10]",-,0.3,✓,-,0.8,✓,✓,✓,F/F/T,29.9%,121.9%,17.2%,7.09,2.54,46.4%,54.3%,46,2.9,0.57
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3_e21c8a,"[0, 10]",-,0.6,✓,-,1,✓,✓,✓,F/F/T,29.6%,120.5%,16.3%,7.41,2.42,48.2%,47.8%,46,2.6,0.57
round2b_fine_tuning_S0-10_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3_f5bb1b,"[0, 10]",-,-,-,-,0.8,✓,✓,✓,F/F/T,29.2%,118.2%,17.7%,6.69,2.44,46.9%,54.2%,48,2.8,0.59
round2c_Ashare_S0-5_arT-1_flT-.95_fmT-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__72abd4,"[0, 5]",-,0.4,✓,-,2,✓,✓,✓,T/F/T,24.8%,96.5%,13.9%,6.95,2.20,42.1%,52.5%,40,3.9,0.49
round2c_Ashare_S0-5_arT-1_flT-.95_fmT-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__697890,"[0, 5]",-,0.4,✓,-,-,✓,✓,✓,T/F/T,24.8%,96.5%,13.9%,6.95,2.20,42.1%,52.5%,40,3.9,0.49
round2b_fine_tuning_S0-10_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3_201667,"[0, 10]",-,0.4,-,-,0.8,✓,✓,✓,F/F/T,24.5%,95.0%,20.6%,4.60,1.94,46.8%,51.1%,47,2.9,0.58
round2c_Ashare_S0-5_arT-1_flT-.95_fmT-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__620f7b,"[0, 5]",-,0.4,✓,-,1.5,✓,✓,✓,T/F/T,24.1%,93.0%,13.9%,6.69,2.10,42.3%,52.4%,42,3.9,0.52
round2c_Ashare_S0-5_arT-1_flT-.95_fmT-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__1c8ffd,"[0, 5]",-,0.4,✓,-,1.2,✓,✓,✓,T/F/T,24.1%,93.0%,13.9%,6.69,2.10,42.3%,52.4%,42,3.9,0.52
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__5ad30a,"[0, 8]",-,0.3,✓,-,0.8,✓,✓,✓,F/F/T,23.7%,91.4%,17.2%,5.32,1.94,45.0%,53.1%,49,2.6,0.60
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__023062,"[0, 8]",-,-,✓,-,0.8,✓,✓,✓,F/F/T,23.7%,91.4%,17.2%,5.32,1.94,45.0%,53.1%,49,2.6,0.60
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__1818f8,"[0, 8]",-,0.4,✓,-,0.8,✓,✓,✓,F/F/T,23.7%,91.4%,17.2%,5.32,1.94,45.0%,53.1%,49,2.6,0.60
round2b_fine_tuning_S0-8_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__57022b,"[0, 8]",-,-,-,-,0.8,✓,✓,✓,F/F/T,23.0%,88.1%,17.7%,4.99,1.85,45.5%,52.9%,51,2.5,0.63
round1c_close_Ashare_S0-5_arT-1_flT-.95_fmT-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__eb6bbd,"[0, 5]",-,-,✓,-,-,✓,✓,✓,T/F/T,19.5%,72.3%,13.9%,5.20,1.59,42.9%,52.4%,42,3.6,0.52
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__36de53,"[0, 8]",-,0.5,✓,-,1.2,✓,✓,✓,F/F/T,19.0%,69.8%,20.2%,3.45,1.37,48.1%,52.1%,48,2.6,0.59
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__69cdd4,"[0, 8]",-,0.5,✓,-,2,✓,✓,✓,F/F/T,19.0%,69.8%,20.2%,3.45,1.37,48.1%,52.1%,48,2.6,0.59
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3_69f4e1,"[0, 10]",-,0.5,✓,-,0.8,✓,✓,✓,F/F/T,18.9%,69.3%,15.9%,4.35,1.42,45.9%,53.3%,45,2.9,0.56
round2b_fine_tuning_S0-8_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__49c0a1,"[0, 8]",-,0.4,-,-,0.8,✓,✓,✓,F/F/T,18.6%,68.2%,20.6%,3.30,1.41,45.5%,50.0%,50,2.6,0.62
round1a_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsF-.97_maF-20_rF-.4_sldayF-3__28e270,"[0, 5]",✓,-,-,-,-,-,✓,-,F/F/T,17.6%,63.8%,14.3%,4.45,1.31,45.5%,45.8%,59,2.0,0.73
round2b_fine_tuning_S0-8_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__881775,"[0, 8]",-,0.6,-,-,1.2,✓,✓,✓,F/F/T,17.5%,63.5%,15.6%,4.08,1.33,44.8%,51.0%,49,2.4,0.61
round2b_fine_tuning_S0-8_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__1afbe4,"[0, 8]",-,0.6,-,-,2,✓,✓,✓,F/F/T,17.5%,63.5%,15.6%,4.08,1.33,44.8%,51.0%,49,2.4,0.61
round1a_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsF-.97_maF-20_rF-.4_sldayF-3__06cb8b,"[0, 5]",✓,-,✓,-,-,-,✓,-,F/F/T,17.5%,63.5%,14.3%,4.43,1.31,45.3%,46.4%,56,2.1,0.69
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__30a60f,"[0, 8]",-,0.6,✓,-,1.2,✓,✓,✓,F/F/T,17.4%,63.1%,15.7%,4.03,1.32,44.8%,51.0%,49,2.5,0.61
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__776375,"[0, 8]",-,0.6,✓,-,2,✓,✓,✓,F/F/T,17.4%,63.1%,15.7%,4.03,1.32,44.8%,51.0%,49,2.5,0.61
round1a_switches_S0-5_arF-1_flF-.95_fmF-F-T_lsF-.97_maF-20_rF-.4_sldayF-3__4d035b,"[0, 5]",✓,-,-,-,-,-,-,-,F/F/T,17.2%,62.4%,13.9%,4.49,1.28,45.5%,45.8%,59,2.0,0.73
round1a_switches_S0-5_arT-1_flF-.95_fmF-F-T_lsF-.97_maF-20_rF-.4_sldayF-3__0bd9fb,"[0, 5]",✓,-,✓,-,-,-,-,-,F/F/T,17.2%,62.0%,13.9%,4.47,1.28,45.3%,46.4%,56,2.1,0.69
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__cfb049,"[0, 8]",-,0.6,✓,-,1,✓,✓,✓,F/F/T,17.0%,61.6%,15.6%,3.94,1.26,45.6%,50.0%,48,2.4,0.59
round1c_close_Ashare_S0-5_arT-1_flT-.95_fmT-F-T_lsT-.97_maT-20_rF-.4_sldayT-3__2953e9,"[0, 5]",-,-,✓,✓,-,✓,✓,✓,T/F/T,16.9%,61.0%,13.9%,4.39,1.32,43.3%,51.2%,41,3.7,0.50
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__03e232,"[0, 8]",-,0.5,✓,-,-,✓,✓,✓,F/F/T,16.8%,60.6%,19.2%,3.15,1.15,49.3%,52.1%,48,2.7,0.59
round1c_close_Ashare_S0-5_arF-1_flT-.95_fmT-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__a1591b,"[0, 5]",-,-,-,-,-,✓,✓,✓,T/F/T,16.8%,60.6%,14.5%,4.18,1.30,43.4%,51.2%,43,3.6,0.53
