ID,S,st,r,ar,ma,v,ls,fl,slday,fm,Return,Ann.Ret,MaxDD,Calmar,Sharpe,Volatility,WinRate,Trades,AvgHoldDays,Turnover,Y2023,Y2024,Y2025,Y2026
round2_fine_tuning_S0-10_rT-.4_vT-5-1.2,"[0, 10]",-,0.4,✓,-,1.2,✓,✓,✓,F/F/T,251.5%,51.1%,30.2%,1.69,1.35,34.9%,51.4%,329,5.5,0.47,-3.4%,10.8%,156.5%,27.9%
round2_fine_tuning_S0-6_rT-.6_vT-5-1.2,"[0, 6]",-,0.6,✓,-,1.2,✓,✓,✓,F/F/T,211.3%,45.2%,31.4%,1.44,1.29,32.1%,47.2%,343,5.3,0.49,-19.9%,67.4%,87.8%,23.7%
round2_fine_tuning_S0-5_rT-.4_vT-5-1.2,"[0, 5]",-,0.4,✓,-,1.2,✓,✓,✓,F/F/T,534.6%,83.5%,25.0%,3.34,2.51,31.6%,51.4%,360,5.3,0.52,23.6%,55.5%,151.5%,31.2%
round2_fine_tuning_S0-5_rF-.4_vT-5-1.2,"[0, 5]",-,-,✓,-,1.2,✓,✓,✓,F/F/T,451.4%,75.2%,25.0%,3.01,2.20,32.4%,50.6%,362,5.3,0.52,25.0%,39.4%,141.0%,31.2%
round2_fine_tuning_S0-4_rT-.6_vT-5-1.5,"[0, 4]",-,0.6,✓,-,1.5,✓,✓,✓,F/F/T,245.1%,50.2%,30.4%,1.65,1.55,29.7%,51.3%,376,5.0,0.54,-7.8%,41.7%,126.0%,16.9%
round2_fine_tuning_S0-10_rT-.3_vT-5-1.5,"[0, 10]",-,0.3,✓,-,1.5,✓,✓,✓,F/F/T,244.5%,50.1%,28.9%,1.73,1.29,35.8%,49.8%,305,5.7,0.44,4.1%,13.2%,132.0%,26.0%
round2_fine_tuning_S0-8_rT-.3_vT-5-1,"[0, 8]",-,0.3,✓,-,1,✓,✓,✓,F/F/T,228.4%,47.8%,37.5%,1.28,1.31,33.4%,52.8%,354,5.7,0.49,-5.4%,-0.1%,161.8%,32.8%
round2c_Ashare_fmF-F-T_vF-5-1,"[0, 5]",-,0.4,✓,-,-,✓,✓,✓,F/F/T,342.4%,63.0%,32.1%,1.96,1.77,33.3%,50.3%,336,5.3,0.48,19.4%,26.3%,122.3%,32.1%
round2c_Ashare_fmF-F-T_vT-5-1,"[0, 5]",-,0.4,✓,-,1,✓,✓,✓,F/F/T,480.3%,78.2%,25.0%,3.13,2.36,31.4%,51.4%,383,5.4,0.55,19.5%,51.6%,147.0%,29.7%
round2c_Ashare_fmT-F-T_vF-5-1,"[0, 5]",-,0.4,✓,-,-,✓,✓,✓,T/F/T,252.0%,51.2%,22.7%,2.26,1.60,29.6%,52.2%,230,12.3,0.33,7.8%,31.8%,93.5%,28.0%
round2c_Ashare_fmT-F-T_vT-5-.8,"[0, 5]",-,0.4,✓,-,0.8,✓,✓,✓,T/F/T,233.9%,48.6%,26.3%,1.85,1.60,27.8%,52.7%,313,11.9,0.44,-8.8%,40.8%,118.2%,19.2%
round2c_Ashare_fmT-F-T_vT-5-1,"[0, 5]",-,0.4,✓,-,1,✓,✓,✓,T/F/T,306.5%,58.5%,21.1%,2.78,1.95,28.0%,51.8%,274,12.3,0.39,-4.1%,65.0%,101.7%,27.4%
round2c_Ashare_fmT-F-T_vT-5-1.2,"[0, 5]",-,0.4,✓,-,1.2,✓,✓,✓,T/F/T,360.2%,65.1%,19.2%,3.40,2.15,28.5%,51.8%,255,12.1,0.38,4.9%,74.8%,97.1%,27.4%
round2c_Ashare_fmT-F-T_vT-5-1.5,"[0, 5]",-,0.4,✓,-,1.5,✓,✓,✓,T/F/T,279.5%,55.0%,20.5%,2.69,1.76,28.9%,52.0%,246,12.1,0.36,7.8%,42.6%,91.6%,28.8%
round2c_Ashare_fmT-F-T_vT-5-2,"[0, 5]",-,0.4,✓,-,2,✓,✓,✓,T/F/T,296.8%,57.3%,19.9%,2.88,1.86,28.7%,51.5%,241,12.1,0.35,7.8%,42.6%,101.7%,28.0%
round2c_Ashare_fmF-T-T_vF-5-1,"[0, 5]",-,0.4,✓,-,-,✓,✓,✓,F/T/T,294.5%,57.0%,26.1%,2.19,1.66,32.0%,51.5%,338,5.7,0.47,22.5%,7.4%,132.0%,29.2%
round2c_Ashare_fmF-T-T_vT-5-.8,"[0, 5]",-,0.4,✓,-,0.8,✓,✓,✓,F/T/T,289.7%,56.3%,29.3%,1.92,1.66,31.5%,52.7%,427,5.8,0.58,5.6%,5.5%,154.0%,37.7%
round2c_Ashare_fmF-T-T_vT-5-1,"[0, 5]",-,0.4,✓,-,1,✓,✓,✓,F/T/T,347.5%,63.6%,26.2%,2.43,1.96,30.4%,53.5%,385,5.8,0.54,20.5%,12.8%,159.5%,26.9%
round2c_Ashare_fmF-T-T_vT-5-1.2,"[0, 5]",-,0.4,✓,-,1.2,✓,✓,✓,F/T/T,403.9%,70.1%,25.3%,2.77,2.16,30.6%,53.2%,365,5.8,0.51,24.7%,13.6%,177.1%,28.3%
round2c_Ashare_fmF-T-T_vT-5-1.5,"[0, 5]",-,0.4,✓,-,1.5,✓,✓,✓,F/T/T,383.8%,67.8%,26.1%,2.60,2.02,31.6%,52.4%,351,5.8,0.50,22.5%,23.2%,149.6%,28.3%
round2c_Ashare_fmF-T-T_vT-5-2,"[0, 5]",-,0.4,✓,-,2,✓,✓,✓,F/T/T,343.1%,63.1%,26.1%,2.42,1.87,31.6%,52.0%,342,5.7,0.48,22.5%,18.1%,138.5%,28.3%
round2b_fine_tuning_S0-8_rT-.3_vT-5-1,"[0, 8]",-,0.3,-,-,1,✓,✓,✓,F/F/T,224.6%,47.2%,39.3%,1.20,1.28,33.7%,52.4%,357,5.6,0.49,-2.4%,-4.7%,162.6%,32.8%
