fold_id,test_year,model_id,direction,horizon_trade_days,rows,positives,prevalence,brier_score,log_loss,roc_auc,average_precision
wf_2020,2020,shallow_xgboost,bottom,5,243,25,0.102880658436214,0.07673937344559406,0.3047114050216691,0.7508256880733944,0.4015858996462407
wf_2020,2020,shallow_xgboost,bottom,10,243,35,0.1440329218106996,0.1236600891540333,0.49909739782299906,0.6143543956043956,0.3104815502271106
wf_2020,2020,shallow_xgboost,bottom,20,243,51,0.20987654320987653,0.21333795763513505,0.8979979613598407,0.443780637254902,0.2389625722170303
wf_2021,2021,simple_rule,top,5,243,34,0.13991769547325103,0.12362078148317936,0.4232539289773387,0.45257528848860124,0.19666959501834214
wf_2021,2021,simple_rule,top,10,243,44,0.18106995884773663,0.1517843511761823,0.4910476187809636,0.4551164915486524,0.2254736122790028
wf_2021,2021,simple_rule,top,20,243,64,0.26337448559670784,0.19671408417647482,0.5861335626165547,0.5268854748603353,0.35993568325528236
wf_2021,2021,simple_rule,bottom,5,243,19,0.07818930041152264,0.07747556958384609,0.30231339981616373,0.3900375939849624,0.06274098531287328
wf_2021,2021,simple_rule,bottom,10,243,24,0.09876543209876543,0.09776045505894165,0.3589145311709344,0.308599695585997,0.0695854829158242
wf_2021,2021,simple_rule,bottom,20,243,34,0.13991769547325103,0.1298121096150235,0.4340628388739737,0.38164931044188016,0.12880353353536272
wf_2021,2021,elastic_net,top,5,243,34,0.13991769547325103,0.11668005828625987,0.4303593364886003,0.6383338024204896,0.33916719301354753
wf_2021,2021,elastic_net,top,10,243,44,0.18106995884773663,0.15000745714697772,0.4978951188632642,0.5808588396528095,0.315520053355242
wf_2021,2021,elastic_net,top,20,243,64,0.26337448559670784,0.21360529836042805,0.6562706941874596,0.4965083798882682,0.3055487429509226
wf_2021,2021,elastic_net,bottom,5,243,19,0.07818930041152264,0.07034874085321155,0.2645677092198056,0.7643327067669172,0.22290157232711788
wf_2021,2021,elastic_net,bottom,10,243,24,0.09876543209876543,0.09693241342466095,0.3526009974474893,0.2783485540334856,0.06884628546492827
wf_2021,2021,elastic_net,bottom,20,243,34,0.13991769547325103,0.15645893311529827,0.5037244217738832,0.1410075992119336,0.08305351048415181
wf_2021,2021,shallow_xgboost,top,5,243,34,0.13991769547325103,0.11992231355650498,0.39841500041719047,0.742752603433718,0.3189633087676355
wf_2021,2021,shallow_xgboost,top,10,243,44,0.18106995884773663,0.14668489929950312,0.45701065651585016,0.7813499314755596,0.44464242789505193
wf_2021,2021,shallow_xgboost,top,20,243,64,0.26337448559670784,0.2378113533478092,0.6818784684678719,0.25794343575418993,0.18042416842330267
wf_2021,2021,shallow_xgboost,bottom,5,243,19,0.07818930041152264,0.04573204943707928,0.17078508680667842,0.9600563909774437,0.8186418534042759
wf_2021,2021,shallow_xgboost,bottom,10,243,24,0.09876543209876543,0.06362679959655658,0.23749026871127973,0.9339802130898021,0.7470670953087833
wf_2021,2021,shallow_xgboost,bottom,20,243,34,0.13991769547325103,0.11313163174996316,0.3916932851794923,0.7717421896988461,0.5917779149297595
wf_2022,2022,simple_rule,top,5,242,16,0.06611570247933884,0.06185905158288591,0.24425072397719302,0.483683628318584,0.06256941054109268
