id,code,name,pub_date,start_date,end_date,traced_index_name,traced_index_code
25,588100.XSHG,科创信息,2022-04-19,2022-05-09,,科创信息(000682),000682.XSHG
26,159623.XSHE,成渝经济圈ETF博时,2022-04-27,2022-05-10,,成渝经济圈(931695),931695.CSI
27,560900.XSHG,创新药企,2022-05-05,2022-05-09,,CS创新药(931152),931152.CSI
28,560080.XSHG,中药ETF,2022-07-14,2022-07-19,,中证中药(930641),930641.CSI
29,513380.XSHG,科技恒生,2022-04-11,2022-04-18,,恒生科技指数(HSTECH),
30,560990.XSHG,科技先锋,2022-04-15,2022-04-18,,科技先锋(931447),931447.CSI
31,561560.XSHG,电力ETF,2022-04-01,2022-04-08,,电力指数(H30199),H30199.CSI
32,159625.XSHE,绿色电力ETF嘉实,2022-03-22,2022-04-06,,绿色电力(399438),399438.XSHE
33,159646.XSHE,疫苗ETF基金,2022-07-18,2022-07-21,2024-06-05,疫苗生科(980015),
34,159798.XSHE,消费ETF易方达,2022-03-14,2022-03-29,,CS消费50(931139),931139.CSI
35,159609.XSHE,光伏ETF浦银,2022-03-25,2022-03-29,,光伏产业(931151),931151.CSI
36,159603.XSHE,科创创业ETF天弘,2022-03-25,2022-03-29,,科创创业50(931643),931643.CSI
37,560880.XSHG,家电基金,2022-03-11,2022-03-21,,家用电器(930697),930697.CSI
38,560650.XSHG,核心50,2022-03-11,2022-03-16,2026-07-03,企业核心竞争力50(931526),931526.CSI
39,560010.XSHG,1000基金,2022-07-14,2022-07-22,,中证1000(000852),000852.XSHG
40,560110.XSHG,ZZ1000,2022-07-15,2022-07-22,,中证1000(000852),000852.XSHG
41,159633.XSHE,中证1000ETF易方达,2022-07-11,2022-07-22,,中证1000(000852),000852.XSHG
42,562520.XSHG,1000成长,2022-02-11,2022-02-21,,1000成长创新(931591),931591.CSI
43,517990.XSHG,医药基金,2022-01-28,2022-02-09,,沪港深500医药(H30463),H30463.CSI
44,159618.XSHE,光伏ETF华安,2022-01-17,2022-02-07,,光伏产业(931151),931151.CSI
45,159797.XSHE,医疗器械ETF汇添富,2022-01-25,2022-01-28,,医疗器械(H30217),H30217.CSI
46,159791.XSHE,300ESGETF华夏,2022-01-14,2022-01-19,,300ESG(931463),931463.CSI
47,159619.XSHE,基建ETF国泰,2022-01-19,2022-01-25,,中证基建(930608),930608.CSI
48,513770.XSHG,港股互联网ETF,2022-01-07,2022-01-17,,港股通互联网(931637),931637.CSI
49,159613.XSHE,信息安全ETF嘉实,2021-12-31,2022-01-10,,信息安全(399994),399994.XSHE
50,560100.XSHG,增强ETF,2021-12-30,2022-01-07,,中证500(000905),000905.XSHG
51,517550.XSHG,消费主题,2021-12-28,2022-01-04,,SHS消费龙头(931663),931663.CSI
52,159795.XSHE,智能汽车ETF汇添富,2021-12-16,2021-12-27,,CS智汽车(930721),930721.CSI
53,159643.XSHE,疫苗ETF国泰,2022-07-19,2022-07-25,,疫苗生科(980015),
54,159611.XSHE,电力ETF广发,2021-12-09,2021-12-20,,电力指数(H30199),H30199.CSI
55,159834.XSHE,金ETF南方,2021-12-15,2021-12-20,,,
56,517900.XSHG,银行优选,2021-12-07,2021-12-10,,银行AH(931039),931039.CSI
57,560800.XSHG,数字ETF,2021-11-23,2021-12-06,,数字经济(931582),931582.CSI
58,159608.XSHE,稀有金属ETF广发,2021-11-29,2021-12-06,,CS稀金属(930632),930632.CSI
59,159606.XSHE,中证500成长ETF易方达,2021-11-19,2021-12-02,,500质量成长(930939),930939.CSI
60,159778.XSHE,工业互联网ETF鹏华,2021-11-25,2021-12-01,,工业互联(931495),931495.CSI
61,159787.XSHE,建材ETF易方达,2021-11-29,2021-12-02,,建筑材料(931009),931009.CSI
62,159775.XSHE,电池ETF建信,2021-11-26,2021-12-01,,新能电池(980032),
63,562950.XSHG,消电50,2021-11-26,2021-11-30,,消费电子(931494),931494.CSI
64,513960.XSHG,港股消费,2021-11-26,2021-12-01,2024-09-10,港股通消费CNY(931455),931455.CSI
65,513230.XSHG,H股消费,2021-11-25,2021-11-30,,港股通消费(931454),931454.CSI
66,561990.XSHG,300增强,2021-11-18,2021-11-22,,沪深300(000300),000300.XSHG
67,159610.XSHE,中证500增强ETF景顺,2021-11-19,2021-11-22,,中证500(000905),000905.XSHG
68,561550.XSHG,500指增,2021-11-17,2021-11-22,,中证500(000905),000905.XSHG
69,561300.XSHG,300增ETF,2021-11-18,2021-11-22,,沪深300(000300),000300.XSHG
70,159761.XSHE,新材料ETF国泰,2021-11-09,2021-11-15,,新材料(H30597),H30597.CSI
71,159769.XSHE,消费电子龙头ETF,2021-11-11,2021-11-16,2024-07-10,消费电子(931494),931494.CSI
72,159768.XSHE,房地产ETF银华,2021-11-12,2021-11-16,,内地地产(000948),000948.CSI
73,562510.XSHG,旅游ETF,2021-11-13,2021-11-16,,中证旅游(930633),930633.CSI
74,562500.XSHG,机器人,2021-11-05,2021-11-11,,机器人(H30590),H30590.CSI
75,159758.XSHE,红利质量ETF华夏,2021-11-05,2021-11-11,,红利质量(931468),931468.CSI
76,561120.XSHG,家电ETF,2021-11-08,2021-11-11,,家用电器(930697),930697.CSI
77,588310.XSHG,双创基金,2021-10-26,2021-11-08,,科创创业50(931643),931643.CSI
78,159760.XSHE,医疗健康ETF泰康,2021-11-03,2021-11-08,,医疗健康(980016),
79,159748.XSHE,创新药ETF富国,2021-10-29,2021-11-05,,SHS创新药(931409),931409.CSI
80,159751.XSHE,港股通科技ETF鹏华,2021-11-01,2021-11-05,,港股通科技CNY(931573CNY00),
81,517770.XSHG,游戏传媒,2021-10-20,2021-10-26,,SHS游戏传媒(931580),931580.CSI
82,517390.XSHG,云计算ETF天弘,2021-10-13,2021-10-22,,SHS云计算(931470),931470.CSI
83,562910.XSHG,高端制造,2021-10-18,2021-10-22,,装备产业(H11054),H11054.CSI
84,561100.XSHG,电子龙头,2021-10-18,2021-10-21,,消费电子(931494),931494.CSI
85,588150.XSHG,科创龙头,2021-10-18,2021-10-21,,科创50(000688),000688.XSHG
86,159738.XSHE,云计算ETF华泰柏瑞,2021-10-19,2021-10-22,,SHS云计算(931470),931470.CSI
87,562900.XSHG,现代农业,2021-10-19,2021-10-22,,CS现代农(930662),930662.CSI
88,560050.XSHG,MSCIA50,2021-10-19,2021-10-22,,MSCI中国A50互联互通(人民币)指数(本币)(746059L),
89,563000.XSHG,中国A50,2021-10-19,2021-10-22,,MSCI中国A50互联互通(人民币)指数(本币)(746059L),
90,159601.XSHE,A50ETF华夏,2021-10-19,2021-10-22,,MSCI中国A50互联互通(人民币)指数(本币)(746059L),
91,159602.XSHE,中国A50ETF南方,2021-10-19,2021-10-22,,MSCI中国A50互联互通指数(人民币)(735577C),
92,517880.XSHG,品牌消费,2021-10-16,2021-10-21,,SHS品牌消费50(931404),931404.CSI
93,561310.XSHG,消电ETF,2021-10-18,2021-10-21,,消费电子(931494),931494.CSI
94,517280.XSHG,网购ETF,2021-09-24,2021-10-11,2024-07-06,SHS线上消费(931481),931481.CSI
95,517960.XSHG,科技AH,2021-09-29,2021-10-12,2024-07-06,SHS科技100(931442),931442.CSI
96,159739.XSHE,云计算ETF鹏华,2021-09-24,2021-10-11,,云计算(930851),930851.CSI
97,159770.XSHE,机器人ETF天弘,2021-09-27,2021-10-11,,机器人(H30590),H30590.CSI
98,159793.XSHE,线上消费ETF平安,2021-09-30,2021-10-11,,SHS线上消费(931481),931481.CSI
99,159779.XSHE,消费电子ETF招商,2021-09-17,2021-10-11,,消费电子(931494),931494.CSI
100,159728.XSHE,在线消费ETF南方,2021-09-28,2021-10-08,,在线消费(399361),399361.XSHE
101,516750.XSHG,建材ETF,2021-09-28,2021-10-08,,建筑材料(931009),931009.CSI
102,159731.XSHE,石化ETF华夏,2021-09-30,2021-10-11,,石化产业(H11057),H11057.CSI
103,516350.XSHG,芯片50,2021-09-23,2021-09-30,,芯片产业(H30007),H30007.CSI
104,516730.XSHG,证券公司,2021-09-27,2021-09-30,,证券公司30(931412),931412.CSI
105,516530.XSHG,物流快递,2021-09-27,2021-09-30,,CS物流(930716),930716.CSI
106,159712.XSHE,港股通50ETF国泰,2021-09-17,2021-09-24,,港股通50(930931),930931.CSI
107,516620.XSHG,影视ETF,2021-09-17,2021-09-24,,中证影视(930781),930781.CSI
108,588280.XSHG,科创五零,2021-09-09,2021-09-22,,科创50(000688),000688.XSHG
109,517330.XSHG,长江保护,2021-09-14,2021-09-22,,长江保护(931554),931554.CSI
110,517160.XSHG,长江ETF,2021-09-14,2021-09-22,,长江保护(931554),931554.CSI
111,159707.XSHE,地产ETF华宝,2021-09-17,2021-09-22,,800地产(399965),399965.XSHE
112,517660.XSHG,物联网ETF天弘,2021-09-15,2021-09-22,,SHS物联网(931575),931575.CSI
113,517180.XSHG,中国国企,2021-09-09,2021-09-14,,富时中国国企开放共赢指数(GPCCH003),
114,517090.XSHG,共赢ETF,2021-09-09,2021-09-14,,富时中国国企开放共赢指数(GPCCH003),
115,159719.XSHE,国企ETF平安,2021-09-10,2021-09-14,,富时中国国企开放共赢指数(GPCCH003),
116,561130.XSHG,国货ETF,2021-09-01,2021-09-13,,品牌工程(931403),931403.CSI
117,516130.XSHG,消费龙头,2021-09-03,2021-09-13,,消费龙头(931068),931068.CSI
118,159895.XSHE,物联网ETF易方达,2021-09-04,2021-09-10,,CS物联网(930712),930712.CSI
119,159896.XSHE,物联网ETF南方,2021-09-06,2021-09-09,,CS物联网(930712),930712.CSI
120,159777.XSHE,创科技ETF国联安,2021-09-06,2021-09-13,,创科技(399276),399276.XSHE
121,159701.XSHE,物联网ETF招商,2021-09-07,2021-09-10,,CS物联网(930712),930712.CSI
122,562800.XSHG,稀有金属,2021-08-28,2021-09-06,,CS稀金属(930632),930632.CSI
123,562360.XSHG,机器人YH,2021-09-02,2021-09-06,,机器人(H30590),H30590.CSI
124,159773.XSHE,创业板科技ETF华泰柏瑞,2021-08-26,2021-09-06,,创科技(399276),399276.XSHE
125,159723.XSHE,科技龙头ETF汇添富,2021-08-27,2021-09-06,,SHS科技龙头(931524),931524.CSI
126,159706.XSHE,深证100ETF华安,2021-08-31,2021-09-06,,深证100(399330),399330.XSHE
127,560000.XSHG,智慧电车,2021-08-31,2021-09-03,2026-05-08,智能电车(H11052),H11052.CSI
128,516690.XSHG,化工产业,2021-08-31,2021-09-03,2024-06-07,细分化工(000813),000813.CSI
129,159637.XSHE,新能源车ETF东财,2022-07-18,2022-08-01,,CS新能车(399976),399976.XSHE
130,159631.XSHE,A100ETF招商,2022-07-19,2022-08-01,,中证A100(000903),000903.XSHG
131,159736.XSHE,食品饮料ETF天弘,2021-08-24,2021-08-30,,CS食品饮(930653),930653.CSI
